mandiid,cropid,cropname,mandiname,arrivalquantity,maximumprice,minimumprice,modalprice,date
123,1,Corn,CHITRADURGA,100,2301,1709,2218,03/03/2024
259,1,Corn,MALEGAON,100,2214,2128,2190,03/03/2024
364,1,Corn,SIDDIPET,100,2266,2089,2144,03/03/2024
574,1,Corn,Athani,100,2300,2300,2300,03/03/2024
626,1,Corn,Koppal,100,2241,1955,2098,03/03/2024
633,1,Corn,Kustagi,100,2220,2220,2220,03/03/2024
778,1,Corn,Amalner,100,2221,2000,2221,03/03/2024
884,1,Corn,Kalvan,100,2277,2156,2251,03/03/2024
890,1,Corn,Karmala,100,2241,1851,2100,03/03/2024
984,1,Corn,Rahata,100,2276,2276,2276,03/03/2024
1122,1,Corn,Bahraich,100,2500,2300,2410,03/03/2024
1129,1,Corn,Bewar,100,1940,1900,1920,03/03/2024
1129,1,Corn,Bewar,100,2000,1950,1975,03/03/2024
1142,1,Corn,Charra,100,2240,2200,2220,03/03/2024
1156,1,Corn,Etah,100,2250,2050,2110,03/03/2024
1156,1,Corn,Etah,100,2250,2050,2115,03/03/2024
1180,1,Corn,Jahangirabad,100,2301,2281,2301,03/03/2024
1197,1,Corn,Kannauj,100,2300,2200,2250,03/03/2024
1212,1,Corn,Lakhimpur,100,2090,2020,2050,03/03/2024
1215,1,Corn,Madhoganj,100,2150,2100,2125,03/03/2024
1230,1,Corn,Mohamadabad,100,2180,2160,2170,03/03/2024
1235,1,Corn,Naanpara,100,2340,2280,2310,03/03/2024
1240,1,Corn,Nawabganj,100,2350,2250,2300,03/03/2024
1293,1,Corn,Ujhani,100,2150,2050,2100,03/03/2024
1323,1,Corn,Kamareddy,100,2090,2090,2090,03/03/2024
1334,1,Corn,Medchal,100,2090,2090,2090,03/03/2024
1335,1,Corn,Medipally,100,2100,2100,2100,03/03/2024
1353,1,Corn,Narsampet,100,2232,2219,2232,03/03/2024
1353,1,Corn,Narsampet,100,2205,2203,2203,03/03/2024
123,1,Corn,CHITRADURGA,100,2301,1709,2218,04/03/2024
257,1,Corn,CHALISGAON,100,2149,1700,1900,04/03/2024
259,1,Corn,MALEGAON,100,2214,2128,2190,04/03/2024
259,1,Corn,MALEGAON,100,2249,2061,2170,04/03/2024
364,1,Corn,SIDDIPET,100,2266,2089,2144,04/03/2024
383,1,Corn,DAVANGERE,100,2290,2149,2251,04/03/2024
574,1,Corn,Athani,100,2300,2300,2300,04/03/2024
626,1,Corn,Koppal,100,2241,1955,2098,04/03/2024
633,1,Corn,Kustagi,100,2220,2220,2220,04/03/2024
633,1,Corn,Kustagi,100,2231,2181,2203,04/03/2024
661,1,Corn,Rona,100,2219,2109,2178,04/03/2024
778,1,Corn,Amalner,100,2221,2000,2221,04/03/2024
871,1,Corn,Jamkhed,100,2200,1800,2000,04/03/2024
884,1,Corn,Kalvan,100,2277,2156,2251,04/03/2024
884,1,Corn,Kalvan,100,2271,2011,2221,04/03/2024
890,1,Corn,Karmala,100,2241,1851,2100,04/03/2024
890,1,Corn,Karmala,100,2211,1811,2175,04/03/2024
984,1,Corn,Rahata,100,2276,2276,2276,04/03/2024
984,1,Corn,Rahata,100,2296,2241,2265,04/03/2024
1122,1,Corn,Bahraich,100,2500,2300,2410,04/03/2024
1122,1,Corn,Bahraich,100,2350,2200,2275,04/03/2024
1129,1,Corn,Bewar,100,2000,1950,1975,04/03/2024
1142,1,Corn,Charra,100,2240,2200,2220,04/03/2024
1156,1,Corn,Etah,100,2250,2050,2115,04/03/2024
1164,1,Corn,Ganjdudwara,100,2150,2050,2100,04/03/2024
1180,1,Corn,Jahangirabad,100,2301,2281,2301,04/03/2024
1180,1,Corn,Jahangirabad,100,2300,2280,2300,04/03/2024
1197,1,Corn,Kannauj,100,2300,2200,2250,04/03/2024
1212,1,Corn,Lakhimpur,100,2090,2020,2050,04/03/2024
1212,1,Corn,Lakhimpur,100,2090,2000,2060,04/03/2024
1215,1,Corn,Madhoganj,100,2150,2100,2125,04/03/2024
1215,1,Corn,Madhoganj,100,2150,2100,2120,04/03/2024
1230,1,Corn,Mohamadabad,100,2180,2160,2170,04/03/2024
1235,1,Corn,Naanpara,100,2340,2280,2310,04/03/2024
1235,1,Corn,Naanpara,100,2300,2240,2270,04/03/2024
1240,1,Corn,Nawabganj,100,2350,2250,2300,04/03/2024
1248,1,Corn,Pukhrayan,100,2185,2150,2170,04/03/2024
1293,1,Corn,Ujhani,100,2150,2050,2100,04/03/2024
1323,1,Corn,Kamareddy,100,2090,2090,2090,04/03/2024
1334,1,Corn,Medchal,100,2090,2090,2090,04/03/2024
1334,1,Corn,Medchal,100,2090,2090,2090,04/03/2024
1335,1,Corn,Medipally,100,2100,2100,2100,04/03/2024
1353,1,Corn,Narsampet,100,2205,2203,2203,04/03/2024
257,1,Corn,CHALISGAON,100,2149,1700,1900,05/03/2024
257,1,Corn,CHALISGAON,100,2211,1771,2119,05/03/2024
259,1,Corn,MALEGAON,100,2249,2061,2170,05/03/2024
259,1,Corn,MALEGAON,100,2313,2030,2170,05/03/2024
364,1,Corn,SIDDIPET,100,2222,1902,2172,05/03/2024
383,1,Corn,DAVANGERE,100,2290,2149,2251,05/03/2024
383,1,Corn,DAVANGERE,100,2278,2173,2243,05/03/2024
499,1,Corn,Jambusar,100,2300,1900,2100,05/03/2024
