mandiid,cropid,cropname,mandiname,arrivalquantity,maximumprice,minimumprice,modalprice,date
9,2,Cotton,VIJAYAPURA (BIJAPUR),100,7909,3036,7569,03/03/2024
213,2,Cotton,DEULGAON RAJA,100,7730,7000,7450,03/03/2024
291,2,Cotton,AMRELI,100,7905,5250,7205,03/03/2024
295,2,Cotton,BABRA,100,8225,6500,7360,03/03/2024
468,2,Cotton,Bagasara,100,7750,6000,6875,03/03/2024
474,2,Cotton,Bhesan,100,7950,6000,7550,03/03/2024
479,2,Cotton,Bodeli(Hadod),100,7600,7000,7300,03/03/2024
491,2,Cotton,Dhandhuka,100,7630,5875,6755,03/03/2024
503,2,Cotton,Kadi(Kadi cotton Yard),100,8105,6500,7250,03/03/2024
504,2,Cotton,Kalawad,100,7745,6500,7122,03/03/2024
512,2,Cotton,Limdi,100,9750,7210,7580,03/03/2024
556,2,Cotton,Upleta,100,7475,6500,6988,03/03/2024
666,2,Cotton,Savanur,100,7889,6889,7722,03/03/2024
9,2,Cotton,VIJAYAPURA (BIJAPUR),100,7909,3036,7569,04/03/2024
9,2,Cotton,VIJAYAPURA (BIJAPUR),100,7923,3006,7637,04/03/2024
213,2,Cotton,DEULGAON RAJA,100,7730,7000,7450,04/03/2024
213,2,Cotton,DEULGAON RAJA,100,7850,7000,7500,04/03/2024
250,2,Cotton,WARDHA,100,7550,6600,7050,04/03/2024
291,2,Cotton,AMRELI,100,7905,5250,7205,04/03/2024
291,2,Cotton,AMRELI,100,8115,5250,7325,04/03/2024
295,2,Cotton,BABRA,100,8225,6500,7360,04/03/2024
295,2,Cotton,BABRA,100,8210,6750,7480,04/03/2024
468,2,Cotton,Bagasara,100,7750,6000,6875,04/03/2024
468,2,Cotton,Bagasara,100,7875,6000,6937,04/03/2024
474,2,Cotton,Bhesan,100,7950,6000,7550,04/03/2024
474,2,Cotton,Bhesan,100,7950,6500,7400,04/03/2024
479,2,Cotton,Bodeli(Hadod),100,7600,7000,7300,04/03/2024
479,2,Cotton,Bodeli(Hadod),100,7600,7000,7300,04/03/2024
491,2,Cotton,Dhandhuka,100,7630,5875,6755,04/03/2024
491,2,Cotton,Dhandhuka,100,7765,5350,6560,04/03/2024
503,2,Cotton,Kadi(Kadi cotton Yard),100,8105,6500,7250,04/03/2024
503,2,Cotton,Kadi(Kadi cotton Yard),100,7950,6700,7500,04/03/2024
504,2,Cotton,Kalawad,100,7745,6500,7122,04/03/2024
504,2,Cotton,Kalawad,100,7850,6500,7175,04/03/2024
512,2,Cotton,Limdi,100,9750,7210,7580,04/03/2024
512,2,Cotton,Limdi,100,8055,7005,7530,04/03/2024
556,2,Cotton,Upleta,100,7475,6500,6988,04/03/2024
556,2,Cotton,Upleta,100,7750,6500,7125,04/03/2024
666,2,Cotton,Savanur,100,7889,6889,7722,04/03/2024
801,2,Cotton,Bhadrawati,100,7350,6550,6950,04/03/2024
857,2,Cotton,Hinganghat,100,7700,6000,6500,04/03/2024
871,2,Cotton,Jamkhed,100,4000,2500,3250,04/03/2024
927,2,Cotton,Maregoan,100,7400,6800,7100,04/03/2024
966,2,Cotton,Parshiwani,100,7125,6800,7050,04/03/2024
1020,2,Cotton,Sindi(Selu),100,7620,6700,7500,04/03/2024
9,2,Cotton,VIJAYAPURA (BIJAPUR),100,7923,3006,7637,05/03/2024
9,2,Cotton,VIJAYAPURA (BIJAPUR),100,8000,1106,7730,05/03/2024
213,2,Cotton,DEULGAON RAJA,100,7850,7000,7500,05/03/2024
213,2,Cotton,DEULGAON RAJA,100,7900,7300,7600,05/03/2024
