mandiid,cropid,cropname,mandiname,arrivalquantity,maximumprice,minimumprice,modalprice,date
6,7,Onion,DEOLA,100,1550,500,1400,03/03/2024
193,7,Onion,BELAGAVI (BELGAUM),100,2000,1500,1800,03/03/2024
227,7,Onion,KOLHAPUR,100,2000,600,1200,03/03/2024
247,7,Onion,SOLAPUR,100,2300,350,1400,03/03/2024
262,7,Onion,JUNNAR,100,1900,1300,1500,03/03/2024
274,7,Onion,SHEVGAON,100,2000,1600,1600,03/03/2024
280,7,Onion,YEOLA,100,1799,600,1650,03/03/2024
280,13,Onion,YEOLA,100,1799,600,1650,03/03/2024
280,8,Onion,YEOLA,100,1799,600,1650,03/03/2024
280,51,Onion,YEOLA,100,1799,600,1650,03/03/2024
290,7,Onion,AHMEDABAD,100,2500,1500,2250,03/03/2024
337,7,Onion,KURNOOL,100,1689,525,1431,03/03/2024
456,7,Onion,Pattikonda,100,1500,800,1200,03/03/2024
523,7,Onion,Mehsana(Mehsana Veg),100,2400,500,1750,03/03/2024
576,7,Onion,Bangarpet,100,1500,1000,1300,03/03/2024
876,7,Onion,Junnar(Alephata),100,2410,1000,1500,03/03/2024
965,7,Onion,Parner,100,2300,300,1550,03/03/2024
965,13,Onion,Parner,100,2300,300,1550,03/03/2024
965,8,Onion,Parner,100,2300,300,1550,03/03/2024
965,51,Onion,Parner,100,2300,300,1550,03/03/2024
972,7,Onion,Pimpalgaon,100,1751,1425,1650,03/03/2024
978,7,Onion,Pune(Khadiki),100,1400,1000,1200,03/03/2024
978,7,Onion,Pune(Khadiki),100,1400,1000,1200,03/03/2024
980,7,Onion,Pune(Moshi),100,1200,400,800,03/03/2024
980,7,Onion,Pune(Moshi),100,1500,800,1150,03/03/2024
981,7,Onion,Pune(Pimpri),100,1600,1400,1500,03/03/2024
984,7,Onion,Rahata,100,2100,300,1600,03/03/2024
1051,7,Onion,Vashi New Mumbai,100,1900,1200,1550,03/03/2024
1321,7,Onion,Gudimalkapur,100,2000,600,1300,03/03/2024
1331,7,Onion,Mahboob Manison,100,2300,1600,2000,03/03/2024
1398,7,Onion,Jaleswar,100,2400,2000,2200,03/03/2024
1398,7,Onion,Jaleswar,100,2400,2000,2200,03/03/2024
1399,7,Onion,Nilagiri,100,2100,2000,2050,03/03/2024
1400,7,Onion,Attabira,100,3000,2500,2500,03/03/2024
1401,7,Onion,Bargarh,100,1700,1500,1600,03/03/2024
1402,7,Onion,Bargarh(Barapalli),100,1800,1600,1700,03/03/2024
1408,7,Onion,Chandabali,100,2500,2300,2400,03/03/2024
1538,7,Onion,Bolangir,100,3500,3400,3400,03/03/2024
1549,7,Onion,Hindol,100,3000,2700,2800,03/03/2024
1549,7,Onion,Hindol,100,3000,2500,2800,03/03/2024
1556,7,Onion,Kamakhyanagar,100,2500,2000,2000,03/03/2024
6,7,Onion,DEOLA,100,1550,500,1400,04/03/2024
6,7,Onion,DEOLA,100,1600,1000,1500,04/03/2024
97,7,Onion,CHANDWAD,100,1939,1080,1730,04/03/2024
97,13,Onion,CHANDWAD,100,1939,1080,1730,04/03/2024
97,8,Onion,CHANDWAD,100,1939,1080,1730,04/03/2024
97,51,Onion,CHANDWAD,100,1939,1080,1730,04/03/2024
117,7,Onion,HUBLI,100,1920,300,800,04/03/2024
193,7,Onion,BELAGAVI (BELGAUM),100,2000,1500,1800,04/03/2024
227,7,Onion,KOLHAPUR,100,2000,600,1200,04/03/2024
227,7,Onion,KOLHAPUR,100,1900,600,1200,04/03/2024
247,7,Onion,SOLAPUR,100,2300,350,1400,04/03/2024
247,7,Onion,SOLAPUR,100,2250,300,1400,04/03/2024
263,7,Onion,LASALGAON,100,1820,501,1750,04/03/2024
263,7,Onion,LASALGAON,100,1975,900,1840,04/03/2024
263,13,Onion,LASALGAON,100,1975,900,1840,04/03/2024
263,8,Onion,LASALGAON,100,1975,900,1840,04/03/2024
263,51,Onion,LASALGAON,100,1975,900,1840,04/03/2024
265,7,Onion,KARAD,100,2000,500,2000,04/03/2024
274,7,Onion,SHEVGAON,100,2000,1600,1600,04/03/2024
277,7,Onion,SINNAR,100,1760,500,1600,04/03/2024
277,13,Onion,SINNAR,100,1760,500,1600,04/03/2024
277,8,Onion,SINNAR,100,1760,500,1600,04/03/2024
277,51,Onion,SINNAR,100,1760,500,1600,04/03/2024
280,7,Onion,YEOLA,100,1799,600,1650,04/03/2024
280,13,Onion,YEOLA,100,1799,600,1650,04/03/2024
280,8,Onion,YEOLA,100,1799,600,1650,04/03/2024
280,51,Onion,YEOLA,100,1799,600,1650,04/03/2024
290,7,Onion,AHMEDABAD,100,2500,1500,2250,04/03/2024
290,7,Onion,AHMEDABAD,100,2400,1000,2150,04/03/2024
337,7,Onion,KURNOOL,100,1689,525,1431,04/03/2024
337,7,Onion,KURNOOL,100,1569,319,1489,04/03/2024
383,7,Onion,DAVANGERE,100,2500,1000,1800,04/03/2024
456,7,Onion,Pattikonda,100,1500,800,1200,04/03/2024
456,7,Onion,Pattikonda,100,1500,1000,1200,04/03/2024
523,7,Onion,Mehsana(Mehsana Veg),100,2400,500,1750,04/03/2024
523,7,Onion,Mehsana(Mehsana Veg),100,1800,800,1500,04/03/2024
576,7,Onion,Bangarpet,100,1500,1000,1300,04/03/2024
