mandiid,cropid,cropname,mandiname,arrivalquantity,maximumprice,minimumprice,modalprice,date
167,13,Potato,DAHOD,100,1500,1000,1400,03/03/2024
193,13,Potato,BELAGAVI (BELGAUM),100,2300,1500,2100,03/03/2024
290,13,Potato,AHMEDABAD,100,1200,800,1050,03/03/2024
466,13,Potato,"Anand(Veg,Yard,Anand)",100,1500,1300,1400,03/03/2024
576,13,Potato,Bangarpet,100,2500,1000,1700,03/03/2024
984,13,Potato,Rahata,100,1900,1600,1750,03/03/2024
1051,13,Potato,Vashi New Mumbai,100,1600,1000,1300,03/03/2024
1398,13,Potato,Jaleswar,100,1800,1400,1600,03/03/2024
1398,13,Potato,Jaleswar,100,1800,1400,1600,03/03/2024
1399,13,Potato,Nilagiri,100,1100,1000,1050,03/03/2024
1400,13,Potato,Attabira,100,2000,1800,1800,03/03/2024
1401,13,Potato,Bargarh,100,1600,1400,1500,03/03/2024
1402,13,Potato,Bargarh(Barapalli),100,1800,1600,1700,03/03/2024
1408,13,Potato,Chandabali,100,1600,1400,1500,03/03/2024
1538,13,Potato,Bolangir,100,2500,2400,2400,03/03/2024
1549,13,Potato,Hindol,100,2000,1600,1800,03/03/2024
1549,13,Potato,Hindol,100,2000,1700,1800,03/03/2024
1556,13,Potato,Kamakhyanagar,100,2000,1700,1800,03/03/2024
167,13,Potato,DAHOD,100,1500,1000,1400,04/03/2024
167,13,Potato,DAHOD,100,1500,1000,1400,04/03/2024
193,13,Potato,BELAGAVI (BELGAUM),100,2300,1500,2100,04/03/2024
290,13,Potato,AHMEDABAD,100,1200,800,1050,04/03/2024
290,13,Potato,AHMEDABAD,100,1200,700,1050,04/03/2024
383,13,Potato,DAVANGERE,100,1500,1000,1200,04/03/2024
466,13,Potato,"Anand(Veg,Yard,Anand)",100,1500,1300,1400,04/03/2024
466,13,Potato,"Anand(Veg,Yard,Anand)",100,1500,1300,1400,04/03/2024
576,13,Potato,Bangarpet,100,2500,1000,1700,04/03/2024
576,13,Potato,Bangarpet,100,2000,1500,1700,04/03/2024
894,13,Potato,Khed(Chakan),100,2000,1200,1500,04/03/2024
984,13,Potato,Rahata,100,1800,1500,1600,04/03/2024
1051,13,Potato,Vashi New Mumbai,100,1600,1000,1300,04/03/2024
1051,13,Potato,Vashi New Mumbai,100,1700,1100,1400,04/03/2024
1398,13,Potato,Jaleswar,100,1800,1400,1600,04/03/2024
1398,13,Potato,Jaleswar,100,1500,1100,1300,04/03/2024
1399,13,Potato,Nilagiri,100,1100,1000,1050,04/03/2024
1399,13,Potato,Nilagiri,100,1200,1100,1150,04/03/2024
1400,13,Potato,Attabira,100,2000,1800,1800,04/03/2024
1401,13,Potato,Bargarh,100,1600,1400,1500,04/03/2024
1402,13,Potato,Bargarh(Barapalli),100,1800,1600,1700,04/03/2024
