mandiid,cropid,cropname,mandiname,arrivalquantity,maximumprice,minimumprice,modalprice,date
1109,10,Rice,Allahabad,100,2850,2700,2780,05/03/2024
1212,10,Rice,Lakhimpur,100,2800,2750,2770,05/03/2024
1373,10,Rice,Ajuha,100,2820,2750,2800,05/03/2024
1998,10,Rice,Rahama,100,5000,1800,3200,05/03/2024
2099,10,Rice,Kalsi,100,3800,3200,3600,05/03/2024
2103,10,Rice,Bareilly,100,2875,2800,2830,05/03/2024
2111,10,Rice,Viswan,100,2850,2750,2800,05/03/2024
1109,10,Rice,Allahabad,100,2850,2700,2780,06/03/2024
1109,10,Rice,Allahabad,100,2850,2700,2760,06/03/2024
1212,10,Rice,Lakhimpur,100,2800,2750,2770,06/03/2024
1212,10,Rice,Lakhimpur,100,2810,2750,2780,06/03/2024
1373,10,Rice,Ajuha,100,2820,2750,2800,06/03/2024
1373,10,Rice,Ajuha,100,2780,2700,2750,06/03/2024
1998,10,Rice,Rahama,100,5000,1800,3200,06/03/2024
2099,10,Rice,Kalsi,100,3800,3200,3600,06/03/2024
2099,10,Rice,Kalsi,100,3800,3200,3600,06/03/2024
2103,10,Rice,Bareilly,100,2875,2800,2830,06/03/2024
2103,10,Rice,Bareilly,100,2900,2800,2850,06/03/2024
2104,10,Rice,Richha,100,2665,2630,2645,06/03/2024
2111,10,Rice,Viswan,100,2850,2750,2800,06/03/2024
2111,10,Rice,Viswan,100,2820,2780,2800,06/03/2024
1109,10,Rice,Allahabad,100,2850,2700,2760,07/03/2024
1212,10,Rice,Lakhimpur,100,2810,2750,2780,07/03/2024
1373,10,Rice,Ajuha,100,2780,2700,2750,07/03/2024
2099,10,Rice,Kalsi,100,3800,3200,3600,07/03/2024
2099,10,Rice,Kalsi,100,3800,3200,3600,07/03/2024
2103,10,Rice,Bareilly,100,2900,2800,2850,07/03/2024
2104,10,Rice,Richha,100,2665,2630,2645,07/03/2024
2111,10,Rice,Viswan,100,2825,2775,2800,07/03/2024
2111,10,Rice,Viswan,100,2820,2780,2800,07/03/2024
1109,10,Rice,Allahabad,100,2850,2700,2765,08/03/2024
2099,10,Rice,Kalsi,100,3800,3200,3600,08/03/2024
2099,10,Rice,Kalsi,100,3800,3200,3600,08/03/2024
2104,10,Rice,Richha,100,2730,2655,2690,08/03/2024
1109,10,Rice,Allahabad,100,2850,2700,2765,09/03/2024
2099,10,Rice,Kalsi,100,3800,3200,3600,09/03/2024
2099,10,Rice,Kalsi,100,3800,3200,3600,09/03/2024
2104,10,Rice,Richha,100,2690,2655,2670,09/03/2024
2104,10,Rice,Richha,100,2730,2655,2690,09/03/2024
1109,10,Rice,Allahabad,100,2850,2700,2780,10/03/2024
1212,10,Rice,Lakhimpur,100,2770,2710,2740,10/03/2024
1998,10,Rice,Rahama,100,5500,2000,3200,10/03/2024
2099,10,Rice,Kalsi,100,3800,3200,3600,10/03/2024
2099,10,Rice,Kalsi,100,3800,3200,3600,10/03/2024
2103,10,Rice,Bareilly,100,2900,2800,2850,10/03/2024
2104,10,Rice,Richha,100,2690,2655,2670,10/03/2024
2111,10,Rice,Viswan,100,2880,2840,2860,10/03/2024
1109,10,Rice,Allahabad,100,2850,2700,2780,11/03/2024
1109,10,Rice,Allahabad,100,2850,2700,2780,11/03/2024
1212,10,Rice,Lakhimpur,100,2770,2710,2740,11/03/2024
1212,10,Rice,Lakhimpur,100,2800,2720,2750,11/03/2024
1373,10,Rice,Ajuha,100,2790,2720,2760,11/03/2024
1998,10,Rice,Rahama,100,5500,2000,3200,11/03/2024
1998,10,Rice,Rahama,100,5000,1800,3200,11/03/2024
2099,10,Rice,Kalsi,100,3800,3200,3600,11/03/2024
2099,10,Rice,Kalsi,100,3800,3200,3600,11/03/2024
2103,10,Rice,Bareilly,100,2900,2800,2850,11/03/2024
2103,10,Rice,Bareilly,100,2875,2825,2850,11/03/2024
2104,10,Rice,Richha,100,2695,2650,2670,11/03/2024
2111,10,Rice,Viswan,100,2875,2775,2825,11/03/2024
2111,10,Rice,Viswan,100,2880,2840,2860,11/03/2024
2111,10,Rice,Viswan,100,2870,2830,2850,11/03/2024
1109,10,Rice,Allahabad,100,2850,2700,2780,12/03/2024
1212,10,Rice,Lakhimpur,100,2800,2720,2750,12/03/2024
1212,10,Rice,Lakhimpur,100,2800,2720,2760,12/03/2024
1373,10,Rice,Ajuha,100,2790,2720,2760,12/03/2024
1935,10,Rice,Manjeri,100,4700,4600,4650,12/03/2024
1998,10,Rice,Rahama,100,5000,1800,3200,12/03/2024
1998,10,Rice,Rahama,100,5000,1800,3200,12/03/2024
2099,10,Rice,Kalsi,100,3800,3200,3600,12/03/2024
2099,10,Rice,Kalsi,100,3800,3200,3600,12/03/2024
2103,10,Rice,Bareilly,100,2875,2825,2850,12/03/2024
2103,10,Rice,Bareilly,100,2900,2800,2850,12/03/2024
2104,10,Rice,Richha,100,2695,2650,2670,12/03/2024
2104,10,Rice,Richha,100,2710,2665,2680,12/03/2024
2111,10,Rice,Viswan,100,2870,2830,2850,12/03/2024
2111,10,Rice,Viswan,100,2890,2850,2870,12/03/2024
1109,10,Rice,Allahabad,100,2850,2700,2785,13/03/2024
1212,10,Rice,Lakhimpur,100,2800,2720,2760,13/03/2024
1212,10,Rice,Lakhimpur,100,2830,2750,2785,13/03/2024
1373,10,Rice,Ajuha,100,2820,2740,2780,13/03/2024
1935,10,Rice,Manjeri,100,4700,4600,4650,13/03/2024
1998,10,Rice,Rahama,100,5000,1800,3200,13/03/2024
1998,10,Rice,Rahama,100,5000,1800,3200,13/03/2024
2099,10,Rice,Kalsi,100,3800,3200,3600,13/03/2024
2099,10,Rice,Kalsi,100,3800,3200,3600,13/03/2024
2103,10,Rice,Bareilly,100,2900,2800,2850,13/03/2024
2103,10,Rice,Bareilly,100,2900,2825,2860,13/03/2024
2104,10,Rice,Richha,100,2710,2665,2680,13/03/2024
2111,10,Rice,Viswan,100,2875,2825,2850,13/03/2024
2111,10,Rice,Viswan,100,2890,2850,2870,13/03/2024
2111,10,Rice,Viswan,100,2900,2850,2875,13/03/2024
