"mandiid","cropid","cropname","mandiname","arrivalquantity","maximumprice","minimumprice","modalprice","date"
1890,7,"Onion","Pataudi",100,1900,1700,1800,"2024-03-07"
1401,13,"Potato","Bargarh",100,2400,2200,2300,"2024-03-23"
2086,2,"Cotton","Adilabad",100,7450,6660,7400,"2024-03-11"
1895,13,"Potato","Dhand",100,1100,1000,1080,"2024-03-15"
1895,7,"Onion","Dhand",100,2200,2000,2100,"2024-03-15"
2060,3,"Tomato","Ramakrisnapuram,RBZ",100,1100,1100,1100,"2024-03-07"
2114,3,"Tomato","Aligarh",100,1900,1800,1840,"2024-03-11"
2086,2,"Cotton","Adilabad",100,7500,6556,7301,"2024-03-18"
290,13,"Potato","AHMEDABAD",100,1400,650,1250,"2024-03-18"
290,7,"Onion","AHMEDABAD",100,1800,1000,1600,"2024-03-18"
1373,10,"Rice","Ajuha",100,2840,2750,2800,"2024-03-18"
1373,13,"Potato","Ajuha",100,1410,1280,1350,"2024-03-18"
1923,7,"Onion","Hamirpur(Nadaun)",100,2800,2600,2700,"2024-03-11"
499,1,"Corn","Jambusar",100,2400,2000,2200,"2024-03-17"
1373,3,"Tomato","Ajuha",100,2200,2070,2130,"2024-03-18"
1373,7,"Onion","Ajuha",100,1900,1760,1820,"2024-03-18"
1923,3,"Tomato","Hamirpur(Nadaun)",100,3800,3400,3600,"2024-03-11"
2097,7,"Onion","Dasda",100,4000,3000,3500,"2024-03-08"
2042,1,"Corn","Alangeyam",100,2292,2290,2291,"2024-03-18"
627,1,"Corn","Kottur",100,2232,1919,2178,"2024-03-17"
231,7,"Onion","NAGPUR",100,2000,1400,1850,"2024-03-17"
1250,7,"Onion","Purwa",100,2050,1950,2000,"2024-03-17"
270,7,"Onion","SANGLI",100,1600,400,1000,"2024-03-17"
1108,1,"Corn","Aliganj",100,2300,2200,2250,"2024-03-18"
2114,1,"Corn","Aligarh",100,2150,2100,2130,"2024-03-18"
2114,3,"Tomato","Aligarh",100,2200,2000,2100,"2024-03-18"
2114,7,"Onion","Aligarh",100,1850,1700,1780,"2024-03-18"
1381,3,"Tomato","Puwaha",100,1980,1780,1880,"2024-03-11"
1549,3,"Tomato","Hindol",100,1200,1000,1100,"2024-03-08"
2006,13,"Potato","Balotra",100,950,900,930,"2024-03-08"
2114,13,"Potato","Aligarh",100,1250,1150,1200,"2024-03-18"
658,3,"Tomato","Ramanagara",100,1500,1000,1300,"2024-03-11"
1896,13,"Potato","Pehowa",100,1850,1600,1650,"2024-03-08"
1896,7,"Onion","Pehowa",100,1950,1562,1852,"2024-03-08"
1109,10,"Rice","Allahabad",100,2850,2700,2790,"2024-03-18"
1109,7,"Onion","Allahabad",100,1900,1750,1820,"2024-03-18"
1109,13,"Potato","Allahabad",100,1455,1300,1345,"2024-03-18"
778,1,"Corn","Amalner",100,2181,1900,2181,"2024-03-18"
291,2,"Cotton","AMRELI",100,7935,5150,7320,"2024-03-18"
1110,7,"Onion","Anandnagar",100,2400,2000,2200,"2024-03-18"
466,13,"Potato","Anand(Veg,Yard,Anand)",100,1250,1000,1150,"2024-03-18"
2015,13,"Potato","Suratgarh",100,800,600,700,"2024-03-08"
1943,13,"Potato","Angamaly",100,3500,2500,3000,"2024-03-18"
1091,2,"Cotton","Theni",100,6800,6600,6700,"2024-03-08"
2015,7,"Onion","Suratgarh",100,1800,1600,1700,"2024-03-08"
1091,1,"Corn","Theni",100,2460,2280,2370,"2024-03-08"
1943,3,"Tomato","Angamaly",100,5000,4000,4500,"2024-03-12"
1373,13,"Potato","Ajuha",100,1100,980,1050,"2024-03-08"
1373,7,"Onion","Ajuha",100,1740,1600,1680,"2024-03-08"
2006,3,"Tomato","Balotra",100,2500,2200,2250,"2024-03-08"
467,3,"Tomato","Ankleshwar",100,1600,1000,1200,"2024-03-18"
1331,7,"Onion","Mahboob Manison",100,2300,1500,2000,"2024-03-08"
921,3,"Tomato","Mangal Wedha",100,1300,400,1200,"2024-03-08"
921,7,"Onion","Mangal Wedha",100,1500,200,1300,"2024-03-08"
1940,7,"Onion","Chengannur",100,2900,2600,2800,"2024-03-08"
1940,3,"Tomato","Chengannur",100,4000,3500,3800,"2024-03-08"
1940,13,"Potato","Chengannur",100,3800,3400,3500,"2024-03-08"
1112,3,"Tomato","Anwala",100,2000,1700,1800,"2024-03-18"
2097,13,"Potato","Dasda",100,2500,1800,2150,"2024-03-08"
213,2,"Cotton","DEULGAON RAJA",100,8130,7100,7850,"2024-03-08"
1112,7,"Onion","Anwala",100,1800,1500,1700,"2024-03-18"
1928,3,"Tomato","Ashahipora (Anantnagh)",100,3000,2900,2950,"2024-03-18"
1886,3,"Tomato","Damnagar",100,5050,4250,4700,"2024-03-08"
1202,3,"Tomato","Khalilabad",100,1000,800,900,"2024-03-12"
1928,13,"Potato","Ashahipora (Anantnagh)",100,2000,1800,1900,"2024-03-18"
1928,7,"Onion","Ashahipora (Anantnagh)",100,3200,2800,3000,"2024-03-18"
1892,3,"Tomato","Hansi",100,2500,2000,2300,"2024-03-08"
1892,7,"Onion","Hansi",100,2500,1300,2000,"2024-03-08"
1549,13,"Potato","Hindol",100,1800,1600,1700,"2024-03-08"
1114,13,"Potato","Atrauli",100,1000,900,950,"2024-03-18"
2010,13,"Potato","Jaipur(Bassi)",100,1200,800,1000,"2024-03-08"
2012,13,"Potato","Jalore",100,1400,1000,1200,"2024-03-08"
1076,1,"Corn","Kallakurichi",100,2213,2170,2192,"2024-03-08"
1952,3,"Tomato","Kodungalloor",100,2400,2000,2200,"2024-03-08"
2012,3,"Tomato","Jalore",100,1400,1000,1200,"2024-03-08"
2099,10,"Rice","Kalsi",100,3800,3200,3600,"2024-03-08"
2099,13,"Potato","Kalsi",100,3000,2000,2500,"2024-03-08"
1992,13,"Potato","Kohima",100,2700,2500,2600,"2024-03-08"
1312,1,"Corn","Badepalli",100,2234,1962,2234,"2024-03-18"
894,7,"Onion","Khed(Chakan)",100,1800,1300,1500,"2024-03-08"
894,13,"Potato","Khed(Chakan)",100,2000,1400,1600,"2024-03-08"
894,3,"Tomato","Khed(Chakan)",100,1500,1000,1300,"2024-03-08"
1952,7,"Onion","Kodungalloor",100,2600,2400,2500,"2024-03-08"
1952,13,"Potato","Kodungalloor",100,3000,2800,2900,"2024-03-08"
227,7,"Onion","KOLHAPUR",100,1900,600,1200,"2024-03-08"
468,2,"Cotton","Bagasara",100,7900,6000,6950,"2024-03-18"
1894,7,"Onion","Narwana",100,1400,1400,1400,"2024-03-08"
1894,3,"Tomato","Narwana",100,2500,2000,2250,"2024-03-08"
1894,13,"Potato","Narwana",100,1000,1000,1000,"2024-03-08"
1122,1,"Corn","Bahraich",100,2375,2200,2285,"2024-03-18"
2006,13,"Potato","Balotra",100,1000,820,940,"2024-03-18"
2006,7,"Onion","Balotra",100,2475,2270,2380,"2024-03-18"
2006,3,"Tomato","Balotra",100,1575,1200,1440,"2024-03-18"
1394,3,"Tomato","Bampada",100,2100,1900,2000,"2024-03-18"
1232,7,"Onion","Mugrabaadshahpur",100,1900,1700,1800,"2024-03-08"
1124,1,"Corn","Bangarmau",100,2200,2100,2150,"2024-03-18"
576,7,"Onion","Bangarpet",100,1500,1000,1200,"2024-03-18"
576,13,"Potato","Bangarpet",100,2000,1500,1700,"2024-03-18"
576,3,"Tomato","Bangarpet",100,1500,300,1000,"2024-03-18"
1126,3,"Tomato","Baraut",100,1600,1500,1550,"2024-03-18"
1945,13,"Potato","Perumbavoor",100,3300,2300,2700,"2024-03-08"
2103,10,"Rice","Bareilly",100,2900,2850,2875,"2024-03-18"
2103,7,"Onion","Bareilly",100,1750,1700,1730,"2024-03-18"
1397,3,"Tomato","Barikpur",100,2100,1900,2000,"2024-03-18"
796,1,"Corn","Barshi",100,2311,2300,2311,"2024-03-18"
2018,7,"Onion","Bhadara",100,1600,1500,1511,"2024-03-18"
2018,3,"Tomato","Bhadara",100,2800,2200,2508,"2024-03-18"
2018,13,"Potato","Bhadara",100,1400,1100,1223,"2024-03-18"
