mandiid,cropid,cropname,mandiname,arrivalquantity,maximumprice,minimumprice,modalprice,date
262,7,Onion,JUNNAR,100,3610,1200,3000,09/06/2024
262,7,Onion,JUNNAR,100,3200,500,2500,09/06/2024
876,7,Onion,Junnar(Alephata),100,3610,1200,3000,09/06/2024
876,7,Onion,Junnar(Alephata),100,3200,500,2500,09/06/2024
878,7,Onion,Junnar(Otur),100,3610,1200,3000,09/06/2024
878,7,Onion,Junnar(Otur),100,3200,500,2500,09/06/2024
878,13,Potato,Junnar(Otur),100,2400,2400,2400,09/06/2024
978,7,Onion,Pune(Khadiki),100,1900,1700,1800,09/06/2024
978,13,Potato,Pune(Khadiki),100,2600,2000,2400,09/06/2024
979,13,Potato,Pune(Manjri),100,2600,2000,2400,09/06/2024
979,7,Onion,Pune(Manjri),100,1900,1700,1800,09/06/2024
980,7,Onion,Pune(Moshi),100,1900,1700,1800,09/06/2024
980,13,Potato,Pune(Moshi),100,2600,2000,2400,09/06/2024
981,7,Onion,Pune(Pimpri),100,1900,1700,1800,09/06/2024
981,13,Potato,Pune(Pimpri),100,2600,2000,2400,09/06/2024
1902,13,Potato,Punhana,100,1500,1500,1500,09/06/2024
1902,7,Onion,Punhana,100,1500,1500,1500,09/06/2024
1249,7,Onion,Puranpur,100,1400,1320,1355,09/06/2024
1249,13,Potato,Puranpur,100,1730,1650,1690,09/06/2024
1293,1,Corn,Ujhani,100,2150,2050,2100,09/06/2024
466,13,Potato,"Anand(Veg,Yard,Anand)",100,2500,2000,2250,10/06/2024
1400,13,Potato,Attabira,100,3000,2800,2800,10/06/2024
1407,13,Potato,Bhadrak,100,2800,2600,2700,10/06/2024
1540,13,Potato,Boudh,100,4000,3000,3500,10/06/2024
1138,7,Onion,Chaandpur,100,1600,1400,1500,10/06/2024
1908,13,Potato,Gohana,100,1800,900,1500,10/06/2024
1908,7,Onion,Gohana,100,2000,1400,1800,10/06/2024
499,2,Cotton,Jambusar,100,6000,5600,5800,10/06/2024
499,2,Cotton,Jambusar,100,6400,6000,6200,10/06/2024
499,1,Corn,Jambusar,100,2400,2000,2200,10/06/2024
1112,7,Onion,Anwala,100,1600,1400,1500,10/06/2024
1540,7,Onion,Boudh,100,4000,3300,3500,10/06/2024
1138,13,Potato,Chaandpur,100,1300,1100,1200,10/06/2024
1907,7,Onion,Ganaur,100,3000,2500,2800,10/06/2024
1907,13,Potato,Ganaur,100,2000,1800,1800,10/06/2024
1892,13,Potato,Hansi,100,1600,1600,1600,10/06/2024
1914,7,Onion,Kangra(Jaisinghpur),100,4000,3500,3700,10/06/2024
1400,3,Tomato,Attabira,100,5000,4500,4500,10/06/2024
1400,7,Onion,Attabira,100,3500,3200,3200,10/06/2024
295,2,Cotton,BABRA,100,7430,6270,6850,10/06/2024
1401,3,Tomato,Bargarh,100,1800,1600,1700,10/06/2024
1401,3,Tomato,Bargarh,100,4700,4500,4600,10/06/2024
1401,13,Potato,Bargarh,100,2600,2400,2500,10/06/2024
1401,13,Potato,Bargarh,100,3000,2800,2900,10/06/2024
1402,3,Tomato,Bargarh(Barapalli),100,4700,4500,4600,10/06/2024
1402,3,Tomato,Bargarh(Barapalli),100,1800,1600,1700,10/06/2024
1402,7,Onion,Bargarh(Barapalli),100,3000,2800,2900,10/06/2024
1407,3,Tomato,Bhadrak,100,3700,2500,3000,10/06/2024
1398,13,Potato,Jaleswar,100,2400,2000,2200,10/06/2024
1398,3,Tomato,Jaleswar,100,4700,4300,4500,10/06/2024
1913,7,Onion,Kangra(Baijnath),100,2500,2400,2500,10/06/2024
1914,13,Potato,Kangra(Jaisinghpur),100,2500,2200,2350,10/06/2024
1914,13,Potato,Kangra(Jaisinghpur),100,2200,2100,2100,10/06/2024
1952,13,Potato,Kodungalloor,100,4200,3800,3900,10/06/2024
1952,13,Potato,Kodungalloor,100,4200,3900,4000,10/06/2024
1992,13,Potato,Kohima,100,3700,3500,3600,10/06/2024
1307,10,Paddy,Murud,100,1500,1000,1200,10/06/2024
1405,3,Tomato,Padampur,100,2700,2500,2600,10/06/2024
1401,7,Onion,Bargarh,100,3000,2800,2900,10/06/2024
1892,7,Onion,Hansi,100,1300,1300,1300,10/06/2024
2010,7,Onion,Jaipur(Bassi),100,2000,1600,1800,10/06/2024
2010,13,Potato,Jaipur(Bassi),100,1700,1500,1600,10/06/2024
1398,7,Onion,Jaleswar,100,2600,2200,2400,10/06/2024
1556,7,Onion,Kamakhyanagar,100,3200,2800,3000,10/06/2024
1556,13,Potato,Kamakhyanagar,100,3000,2400,2500,10/06/2024
1925,7,Onion,Kangra(Nagrota Bagwan),100,4000,3500,3700,10/06/2024
499,1,Corn,Jambusar,100,2100,1900,2000,10/06/2024
1556,3,Tomato,Kamakhyanagar,100,5200,4800,5000,10/06/2024
1196,1,Corn,Kamlaganj,100,2120,2100,2110,10/06/2024
1924,13,Potato,Kangra,100,2400,2000,2200,10/06/2024
1924,13,Potato,Kangra,100,2200,1600,2000,10/06/2024
1924,7,Onion,Kangra,100,3600,2600,3000,10/06/2024
1913,13,Potato,Kangra(Baijnath),100,2200,2100,2100,10/06/2024
1900,13,Potato,Narnaul,100,2000,2000,2000,10/06/2024
1253,7,Onion,Rampurmaniharan,100,2500,2400,2450,10/06/2024
1409,13,Potato,Sahidngar,100,2800,2600,2700,10/06/2024
1409,3,Tomato,Sahidngar,100,3800,3000,3400,10/06/2024
2019,7,Onion,Sangriya,100,2200,1000,1700,10/06/2024
2019,13,Potato,Sangriya,100,1800,800,1400,10/06/2024
1915,7,Onion,Palampur,100,3800,3500,3700,10/06/2024
1915,13,Potato,Palampur,100,2400,2200,2300,10/06/2024
1406,3,Tomato,Sohela,100,2500,2300,2400,10/06/2024
187,7,Onion,SURAT,100,2800,1000,1900,10/06/2024
1557,3,Tomato,Kantabaji,100,5000,4000,4500,10/06/2024
1952,7,Onion,Kodungalloor,100,3900,3600,3700,10/06/2024
1900,7,Onion,Narnaul,100,2000,2000,2000,10/06/2024
1399,3,Tomato,Nilagiri,100,2900,2700,2800,10/06/2024
1245,7,Onion,Payagpur,100,1700,1500,1600,10/06/2024
1270,7,Onion,Shadabad,100,1500,1400,1450,10/06/2024
1270,13,Potato,Shadabad,100,1100,1000,1050,10/06/2024
187,13,Potato,SURAT,100,2800,1300,2050,10/06/2024
187,13,Potato,SURAT,100,3000,2000,2500,10/06/2024
2086,2,Cotton,Adilabad,100,6950,5720,6550,10/06/2024
1921,7,Onion,Chamba,100,2600,2200,2400,10/06/2024
1911,13,Potato,Cheeka,100,1300,1200,1250,10/06/2024
1241,13,Potato,Orai,100,1900,1800,1850,10/06/2024
1885,7,Onion,Padra,100,3000,2000,2500,10/06/2024
957,10,Paddy,Palghar,100,4851,4851,4851,10/06/2024
798,1,Corn,Barshi(Vairag),100,1900,1900,1900,10/06/2024
474,2,Cotton,Bhesan,100,7450,6000,7050,10/06/2024
1137,1,Corn,Buland Shahr,100,2250,2150,2200,10/06/2024
1951,7,Onion,Chavakkad,100,4500,3700,4500,10/06/2024
1145,7,Onion,Chitwadagaon,100,1650,1535,1590,10/06/2024
1147,1,Corn,Choubepur,100,2400,2300,2360,10/06/2024
1148,13,Potato,Chutmalpur,100,1250,1050,1150,10/06/2024
1148,7,Onion,Chutmalpur,100,1550,1350,1450,10/06/2024
291,2,Cotton,AMRELI,100,7325,4750,7140,10/06/2024
1114,13,Potato,Atrauli,100,1300,1200,1250,10/06/2024
1114,1,Corn,Atrauli,100,2200,2100,2150,10/06/2024
2103,10,Rice,Bareilly,100,3050,2950,3000,10/06/2024
2103,7,Onion,Bareilly,100,1325,1250,1300,10/06/2024
1402,13,Potato,Bargarh(Barapalli),100,3000,2800,2900,10/06/2024
1402,13,Potato,Bargarh(Barapalli),100,2600,2400,2500,10/06/2024
796,1,Corn,Barshi,100,1900,1900,1900,10/06/2024
2098,7,Onion,Bishalgarh,100,3500,3300,3400,10/06/2024
1110,7,Onion,Anandnagar,100,1800,1400,1600,10/06/2024
1928,13,Potato,Ashahipora (Anantnagh),100,1300,1200,1250,10/06/2024
2006,13,Potato,Balotra,100,2050,1840,1950,10/06/2024
2006,7,Onion,Balotra,100,1700,1460,1620,10/06/2024
1374,1,Corn,Balrampur,100,2230,2020,2120,10/06/2024
167,13,Potato,DAHOD,100,2500,2000,2200,10/06/2024
1180,1,Corn,Jahangirabad,100,2211,2190,2201,10/06/2024
2010,7,Onion,Jaipur(Bassi),100,2500,1500,2000,10/06/2024
