Crop,Date,Real-Time,NN,ML
,,,,
Onion,04/03/2024,1200,1467.0795,1629.453092
Onion,05/03/2024,1200,1472.8328,1632.545937
Onion,05/03/2024,1400,1472.8328,1632.545937
Onion,06/03/2024,1400,1468.8884,1632.545937
Onion,06/03/2024,1200,1468.8884,1632.545937
Onion,07/03/2024,1200,1492.9465,1632.545937
Onion,08/03/2024,1200,1494.0104,1632.545937
Onion,08/03/2024,1400,1494.0104,1632.545937
Onion,09/03/2024,1400,1473.1849,1560.331252
Onion,10/03/2024,1200,1473.4218,1526.148117
Onion,11/03/2024,1200,1472.8978,1477.828526
Onion,12/03/2024,1200,1472.6512,1424.577551
Onion,12/03/2024,1300,1472.6512,1424.577551
Onion,13/03/2024,1300,1471.2487,1424.577551
Onion,13/03/2024,1200,1471.2487,1424.577551
,,,,
Corn,04/03/2024,2410,2096.5957,2152.332583
Corn,04/03/2024,2275,2096.5957,2152.332583
Corn,05/03/2024,2275,2085.324,2153.427936
Corn,05/03/2024,2280,2085.324,2153.427936
Corn,06/03/2024,2280,2071.7114,2153.510082
Corn,06/03/2024,2275,2071.7114,2153.510082
Corn,07/03/2024,2275,2059.771,2153.510082
Corn,10/03/2024,2250,2011.518,2156.719963
Corn,11/03/2024,2250,2000.9274,2163.022378
Corn,12/03/2024,2250,1990.289,2163.022378
Corn,13/03/2024,2250,1980.6549,2160.248159
Corn,13/03/2024,2270,1980.6549,2160.248159
,,,,
Potato,04/03/2024,1400,1330.623,1538.575481
Potato,05/03/2024,1400,1341.9377,1519.678742
Potato,06/03/2024,1500,1346.6437,1519.253655
Potato,07/03/2024,1500,1356.1025,1519.253655
Potato,08/03/2024,1500,1351.715,1510.854172
Potato,09/03/2024,1500,1354.7754,1510.854172
Potato,11/03/2024,1200,1357.6027,1473.733881
Potato,12/03/2024,1200,1358.7456,1473.733881
Potato,13/03/2024,1100,1358.8888,1473.733881
